桑吉轮燃烧后沉没	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C9%A3%BC%AA%C2%D6%C8%BC%C9%D5%BA%F3%B3%C1%C3%BB	95439
曼宁竞选美参议员	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C2%FC%C4%FE%BE%BA%D1%A1%C3%C0%B2%CE%D2%E9%D4%B1	94582
林允晒搞怪自拍	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C1%D6%D4%CA%C9%B9%B8%E3%B9%D6%D7%D4%C5%C4	94424
跪坐雪地劝轻生者	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B9%F2%D7%F8%D1%A9%B5%D8%C8%B0%C7%E1%C9%FA%D5%DF	93646
勇救跳河女孩溺亡	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D3%C2%BE%C8%CC%F8%BA%D3%C5%AE%BA%A2%C4%E7%CD%F6	91943
小孩滑雪场坠落	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D0%A1%BA%A2%BB%AC%D1%A9%B3%A1%D7%B9%C2%E4	91853
泰国游客快艇爆炸	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CC%A9%B9%FA%D3%CE%BF%CD%BF%EC%CD%A7%B1%AC%D5%A8	91515
也门教材仓库遭袭	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D2%B2%C3%C5%BD%CC%B2%C4%B2%D6%BF%E2%D4%E2%CF%AE	90229
扣篮赛张健豪夺冠	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BF%DB%C0%BA%C8%FC%D5%C5%BD%A1%BA%C0%B6%E1%B9%DA	89586
女生神似新垣结衣	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C5%AE%C9%FA%C9%F1%CB%C6%D0%C2%D4%AB%BD%E1%D2%C2	88909
司机救人悄悄离开	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CB%BE%BB%FA%BE%C8%C8%CB%C7%C4%C7%C4%C0%EB%BF%AA	85086
误成网红终被捕	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CE%F3%B3%C9%CD%F8%BA%EC%D6%D5%B1%BB%B2%B6	84466
翻墙托举救下女子	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B7%AD%C7%BD%CD%D0%BE%D9%BE%C8%CF%C2%C5%AE%D7%D3	84432
皇马主场惨遭绝杀	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BB%CA%C2%ED%D6%F7%B3%A1%B2%D2%D4%E2%BE%F8%C9%B1	83406
土耳其客机险坠海	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CD%C1%B6%FA%C6%E4%BF%CD%BB%FA%CF%D5%D7%B9%BA%A3	82661
尼泊尔接中国宽带	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C4%E1%B2%B4%B6%FB%BD%D3%D6%D0%B9%FA%BF%ED%B4%F8	77169
